name;country.etc;pop;lat;long;capital;max_pop;full.name
Armenia;Colombia;292008;4.5422707;-75.7155692;0;292008;Armenia, Colombia
Barranquilla;Colombia;1218000;10.9838039;-74.8882293;0;1218000;Barranquilla, Colombia
Bogota;Colombia;8081000;4.6482836;-74.2482352;0;8081000;Bogota, Colombia
Bucaramanga;Colombia;521857;7.1192047;-73.1680833;0;521857;Bucaramanga, Colombia
Buenaventura;Colombia;415640;3.8756596;-77.0934138;0;415640;Buenaventura, Colombia
Cali;Colombia;2401000;3.3950619;-76.5958757;0;2401000;Cali, Colombia
Cartagena;Colombia;971592;10.4001911;-75.5787372;0;971592;Cartagena, Colombia
Cucuta;Colombia;650011;7.9087542;-72.5746323;0;650011;Cucuta, Colombia
Florencia;Colombia;163323;1.6188687;-75.6389473;0;163323;Florencia, Colombia
Ibague;Colombia;564077;4.4583861;-75.4481769;0;564077;Ibague, Colombia
Manizales;Colombia;398874;5.0686937;-75.5538548;0;398874;Manizales, Colombia
Medellin;Colombia;2464000;6.2686593;-75.7368202;0;2464000;Medellin, Colombia
Monteria;Colombia;422175;8.7605469;-75.9170753;0;422175;Monteria, Colombia
Neiva;Colombia;488927;2.9376188;-75.3074938;0;488927;Neiva, Colombia
Pasto;Colombia;480000;1.2135252;-77.3123279;0;480000;Pasto, Colombia
Pereira;Colombia;709338;4.804771;-75.7839733;0;709338;Pereira, Colombia
Popayan;Colombia;447820;2.4546404;-76.6240959;0;447820;Popayan, Colombia
Quibdo;Colombia;126384;5.6956327;-76.6628455;0;126384;Quibdo, Colombia
Riohacha;Colombia;150549;11.5344389;-72.9497616;0;150549;Riohacha, Colombia
Sincelejo;Colombia;282833;9.2921896;-75.4299347;0;282833;Sincelejo, Colombia
Santa Marta;Colombia;499257;11.2315231;-74.2175023;0;499257;Santa Marta, Colombia
Tunja;Colombia;195496;5.539293;-73.3913463;0;195496;Tunja, Colombia
Valledupar;Colombia;473232;10.4647686;-73.2942523;0;473232;Valledupar, Colombia
Villavicencio;Colombia;505996;4.1247544;-73.6792718;0;505996;Villavicencio, Colombia
Arauca;Colombia;89712;7.0786856;-70.7704466;0;89712;Arauca, Colombia
Mocoa;Colombia;43731;1.1523405;-76.6598312;0;43731;Mocoa, Colombia
Yopal;Colombia;146204;5.3333459;-72.4085563;0;146204;Yopal, Colombia